prompt,result
个别抽搐患儿用钙剂无效钙剂应考虑到低镁血症的可能，经血镁测定血镁测定后可给25%硫酸镁，每次给0.2ml/kg，每天2～3次，深部肌内深部肌内注射消失后停药。,"[{'type': 'Disease', 'response': ['低镁血症']}, {'type': 'Drug', 'response': ['25%硫酸镁', '钙剂', '血镁测定']}, {'type': 'Symptom', 'response': ['None']}]"
3.药物治疗药物治疗抗生素治疗：根据感染性腹泻感染性腹泻和部分细菌性腹泻有自愈倾向的特点，WHO提出90%的腹泻不需腹泻抗菌药物治疗，国内专家提出大约70%的腹泻病不腹泻病也不应该用抗生素，抗生素适用于侵袭性细侵袭性细菌感染（约30%）。,"[{'type': 'Disease', 'response': ['感染性腹泻', '腹泻病', '腹泻', '细菌性腹泻', '侵袭性细菌感染', '侵袭性细菌', '腹泻不需腹泻抗菌药物治疗']}, {'type': 'Drug', 'response': ['抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
临床指征为：①血便；②有里急后重有里急后重便镜检白细胞满视野；④大便pH7大便pH7以上袭性细菌性腹泻重症、新生儿、小婴儿和原有严重消耗性疾病者如肝硬化、肝硬化、血液病及血液病等，使用抗生素指征抗生素。,"[{'type': 'Disease', 'response': ['血液病', '肝硬化', '严重消耗性疾病', '血液病']}, {'type': 'Drug', 'response': ['抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
微量元素，微量元素5kg儿童选用安达美（addameaddamelN15kg者选用派达益儿（ped-ped-el表13-7静脉营养时电解质、电解质、微量元素的微量元素需要量长期TPN会导致肠黏液萎缩肠黏液萎缩分泌减少及胆汁黏稠胆汁黏稠长期输注葡萄糖，会影响食欲。,"[{'type': 'Disease', 'response': ['肠黏液萎缩']}, {'type': 'Drug', 'response': ['派达益儿', '加多纳', '葡萄糖', '安达美', 'addameaddamelN']}, {'type': 'Symptom', 'response': ['None']}]"
对于比较烦躁的小儿，使用镇静剂是急救病房常规的手段，避免由于刺激和烦躁，造成血压和颅内压的骤然升降，导致血管破裂出血，或气道压过高，造成气胸和气道身体损伤。,"[{'type': 'Disease', 'response': ['气道压过高', '气胸', '血管破裂出血', '气道身体损伤']}, {'type': 'Drug', 'response': ['镇静剂']}, {'type': 'Symptom', 'response': ['None']}]"
以往由于呼吸机没有同步触发功能，在小儿烦躁时，为避免人机对抗造成的气胸、颅内出血、低氧血症等并发症，肌松剂使用很频繁。,"[{'type': 'Disease', 'response': ['低氧血症', '气胸', '颅内出血']}, {'type': 'Drug', 'response': ['肌松剂']}, {'type': 'Symptom', 'response': ['None']}]"
硫酸镁：每次25mg/kg+100ml生理盐水静脉滴注20～30分钟，有低血压、心动过缓、面色潮红等不良反应。,"[{'type': 'Disease', 'response': ['低血压', '心动过缓']}, {'type': 'Drug', 'response': ['硫酸镁', '生理盐水']}, {'type': 'Symptom', 'response': ['None']}]"
6.观察和监护随访血气分析，分析气道阻塞程度；对长期应用β受体兴奋剂患儿要监测血电解质，注意低钾血症发生；对治疗效果不明显或病情恶化患儿，要注意肺部并发症存在，摄胸片观察是否伴有肺不张、气胸、气道异物。,"[{'type': 'Disease', 'response': ['气道阻塞', '低钾血症', '肺不张', '肺部并发症', '气胸', '气道异物']}, {'type': 'Drug', 'response': ['β受体兴奋剂']}, {'type': 'Symptom', 'response': ['None']}]"
其他微量元素如铜、钙和硒等的摄入不足也可诱发NTDs，但其确切作用尚不清楚。,"[{'type': 'Disease', 'response': ['NTDs']}, {'type': 'Drug', 'response': ['None']}, {'type': 'Symptom', 'response': ['None']}]"
此外，与肝胆疾病、腹泻、使用广谱抗生素（抑制肠道菌群）、长期禁食或静脉营养时未补充维生素K有关。,"[{'type': 'Disease', 'response': ['肝胆疾病', '腹泻']}, {'type': 'Drug', 'response': ['广谱抗生素', '维生素K']}, {'type': 'Symptom', 'response': ['None']}]"
【治疗】一旦怀疑本病，应立即给维生素K1</sub>治疗，治疗量为每次1～5mg缓慢静脉注射（1mg/min），注射速度过快可引起面色潮红、支气管痉挛、心动过速及血压下降等不良反应，静脉注射奏效最快，一般在注射后4小时内凝血酶原时间即可趋于正常。,"[{'type': 'Disease', 'response': ['心动过速', '支气管痉挛']}, {'type': 'Drug', 'response': ['维生素K1']}, {'type': 'Symptom', 'response': ['None']}]"
出血量较多的患儿，会导致急性失血性贫血和失血性休克，应立即给生理盐水纠正休克，同时根据患儿血红蛋白水平，给予输血，每次输新鲜血10～20ml/kg。,"[{'type': 'Disease', 'response': ['失血性休克', '休克', '急性失血性贫血']}, {'type': 'Drug', 'response': ['生理盐水', '新鲜血', '输血']}, {'type': 'Symptom', 'response': ['None']}]"
早产儿肝功能不成熟，肝脏不能合成凝血因子，虽用维生素K1</sub>治疗，常不能迅速奏效，最好同时输新鲜血治疗。,"[{'type': 'Disease', 'response': ['早产儿', '肝功能不成熟']}, {'type': 'Drug', 'response': ['维生素K1', '新鲜血', '凝血因子']}, {'type': 'Symptom', 'response': ['None']}]"
（二）摄入不足婴儿由于母亲维生素B<sub>6<sub>摄入不足，引起乳汁中维生素B<sub>6<sub>的分泌量减少，或者人工喂养的婴儿，牛乳经过多次加热、煮沸，造成维生素B<sub>6<sub>的破坏，均可造成婴儿的维生素B<sub>6<sub>缺乏。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['维生素B<sub>6<sub>']}, {'type': 'Symptom', 'response': ['乳汁中维生素B<sub>6<sub>的分泌量减少', '维生素B<sub>6<sub>缺乏', '维生素B<sub>6<sub>的破坏']}]"
患甲状腺功能亢进时，维生素B<sub>6<sub>辅酶活力降低，维生素B<sub>6<sub>的需要量增加。,"[{'type': 'Disease', 'response': ['甲状腺功能亢进']}, {'type': 'Drug', 'response': ['维生素B<sub>6<sub>']}, {'type': 'Symptom', 'response': ['None']}]"
患儿是否有摄入不足、偏食厌食；是否合理膳食，各营养素的比例是否合理；有无妨碍吸收和利用的疾病，如慢性消耗疾病、胃肠道疾病等影响吸收的疾病；患者是否存在需要量增加的因素，如生长发育速度较快、发热等；近来是否服用影响维生素B<sub>6<sub>活性的药物。,"[{'type': 'Disease', 'response': ['慢性消耗疾病', '胃肠道疾病', '影响吸收的疾病', '发热']}, {'type': 'Drug', 'response': ['影响维生素B<sub>6<sub>活性的药物']}, {'type': 'Symptom', 'response': ['None']}]"
（四）胱硫醚尿症胱硫醚酶是维生素B<sub>6<sub>依赖酶，如维生素B<sub>6<sub>缺乏，胱硫醚酶的活性降低，胱硫醚不能分解，积聚在体内，患儿表现为智力迟滞、肢端肥大、耳畸形、耳聋、血小板减少、肾性尿崩症，易发肾结石。,"[{'type': 'Disease', 'response': ['肾结石', '肾性尿崩症', '胱硫醚酶的活性降低', '肢端肥大', '耳畸形', '脑瓜硫醚酶是维生素B<sub>6<sub>依赖酶', '脑瓜硫醚酶', '耳聋', '智力迟滞', '胱硫醚不能分解，积聚在体内']}, {'type': 'Drug', 'response': ['None']}, {'type': 'Symptom', 'response': ['胱硫醚酶的活性降低', '维生素B<sub>6<sub>缺乏']}]"
Isenberg和Grossman曾给DU及非溃疡（NUD）患者注射8个不同剂量的促胃泌素，结果达到最大胃酸分泌量（MAO）时促胃液素半数有效量NDU的均值为148.2±30.3，DU为60.5±96，说明DU患者酸分泌过高是壁细胞对促胃液素敏感所致。,"[{'type': 'Disease', 'response': ['DU', '非溃疡（NUD)']}, {'type': 'Drug', 'response': ['促胃液素', '促胃素']}, {'type': 'Symptom', 'response': ['None']}]"
ASA及大多数其他NSAIDs与消化性溃疡的相互作用表现在几个方面：小剂量时可致血小板功能障碍；稍大剂量可引起急性浅表性胃黏膜糜烂致出血，约2/3长期使用NSAIDs的患者存在胃十二指肠黏膜病变，其中大多数为浅表损害，约1/4长期应用药物的患者有溃疡病。,"[{'type': 'Disease', 'response': ['溃疡病', '胃十二指肠黏膜病变', '血小板功能障碍', '消化性溃疡', '急性浅表性胃黏膜糜烂']}, {'type': 'Drug', 'response': ['NSAIDs']}, {'type': 'Symptom', 'response': ['None']}]"
但ASA/NSAIDs致胃溃疡机制尚不清楚，现认为是这些药物直接损伤胃黏膜，除使氢离子逆向弥散增加之外，还可抑制前列腺素合成，使胃酸及胃蛋白酶分泌增加，胃黏膜血液供应障碍，胃黏膜屏障功能下降。,"[{'type': 'Disease', 'response': ['胃溃疡', '胃酸及胃蛋白酶分泌增加', '胃黏膜屏障功能下降', '胃黏膜血液供应障碍']}, {'type': 'Drug', 'response': ['ASA/NSAIDs']}, {'type': 'Symptom', 'response': ['None']}]"
EGF保护胃黏膜促进溃疡愈合的作用，可能与EGF参与胃黏膜上皮细胞再生的调节，刺激消化道黏膜DNA合成，促进上皮再生与痊愈有关，也有报道EGF可使胃黏膜血流量增多。,"[{'type': 'Disease', 'response': ['溃疡']}, {'type': 'Drug', 'response': ['EGF']}, {'type': 'Symptom', 'response': ['None']}]"
注意：①婴儿及＜8岁儿童慎用；②不良反应轻微，可有皮疹、便秘、腹泻、头痛、出汗及焦虑等；③偶有可逆性的细胞血小板减少，转氨酶升高；④可降低维生素B12</sub>的吸收；⑤可减少肝血流量，因而与普萘洛尔及利多卡因合用时可延缓此药的作用；⑥与普鲁卡因合用，可使普鲁卡因清除率减低。,"[{'type': 'Disease', 'response': ['焦虑', '皮疹', '出汗', '便秘', '好转性的细胞血小板减少', '腹泻', '痛', '细胞血小板减少', '头痛']}, {'type': 'Drug', 'response': ['普萘洛尔', '利多卡因', '普鲁卡因']}, {'type': 'Symptom', 'response': ['None']}]"
同用后可出现共济失调、步态不稳及行走困难，但茶碱和普萘洛尔的代谢不受本品影响。,"[{'type': 'Disease', 'response': ['共济失调']}, {'type': 'Drug', 'response': ['普萘洛尔', '茶碱']}, {'type': 'Symptom', 'response': ['步态不稳', '行走困难']}]"
注意：①年幼儿一般不宜服用此药，肾功能不全者应慎用；②铋可使大便和舌苔、牙齿染黑及恶心、呕吐，停药后消失；③不宜与牛奶、茶、咖啡及含酒精饮料同服；④长期大量应用，可发生不可逆性脑病、精神紊乱及运动失调，有条件者应做血铋检测。,"[{'type': 'Disease', 'response': ['肾功能不全', '运动失调', '不可逆性脑病', '精神紊乱']}, {'type': 'Drug', 'response': ['铋']}, {'type': 'Symptom', 'response': ['恶心', '呕吐', '大便和舌苔、牙齿染黑']}]"
（四）幽门螺杆菌阳性消化性溃疡的治疗目前幽门螺杆菌阳性合并有活动期溃疡的患者除给予传统抗溃疡药物治疗，如H2</sub>受体阻滞剂、质子泵抑制剂或硫糖铝促进溃疡愈合外，常同时给予抗生素根除幽门螺杆菌。,"[{'type': 'Disease', 'response': ['溃疡', '消化性溃疡', '活动期溃疡']}, {'type': 'Drug', 'response': ['质子泵抑制剂', '硫糖铝', '传统抗溃疡药物', '抗生素', 'H2</sub>受体阻滞剂']}, {'type': 'Symptom', 'response': ['None']}]"
治疗原则是能够完全切除的肿瘤应尽量完整切除；体积大的肿瘤或与周围组织粘连严重时可做部分切除，术后辅以局部放射治疗；大的囊性单腔性颅咽管瘤可用32</sup>P行内放疗；而对于小的2～3cm的肿瘤可行立体定向放射外科治疗。,"[{'type': 'Disease', 'response': ['囊性单腔性颅咽管瘤', '肿瘤']}, {'type': 'Drug', 'response': ['32</sup>P']}, {'type': 'Symptom', 'response': ['None']}]"
用法：将博来霉素水剂，配成1mg/1ml的浓度，每次0.2～0.3mg/kg的剂量注入瘤体内，每周一次，3～10次为一疗程，总剂量不超过5mg/kg，否则可导致组织坏死，发生溃疡。,"[{'type': 'Disease', 'response': ['溃疡', '组织坏死']}, {'type': 'Drug', 'response': ['博来霉素']}, {'type': 'Symptom', 'response': ['None']}]"
（二）肾上腺皮质激素肾上腺皮质激素对腹痛疗效好，对控制出血性皮疹、关节肿痛及蛋白尿有一定的效果，但对过敏性紫癜的血尿无效。,"[{'type': 'Disease', 'response': ['关节肿痛', '蛋白尿', '过敏性紫癜', '腹痛', '出血性皮疹']}, {'type': 'Drug', 'response': ['肾上腺皮质激素']}, {'type': 'Symptom', 'response': ['None']}]"
（二）化学性药物小儿时期经常感冒和发热，反复使用非甾体类药物如阿司匹林和吲哚美辛等，使胃黏膜内源性保护物质前列腺素E2</sub>减少，胃黏膜屏障功能降低，而致胃黏膜损伤。,"[{'type': 'Disease', 'response': ['胃黏膜损伤', '发热', '感冒', '胃黏膜内源性保护物质前列腺素E2</sub>减少']}, {'type': 'Drug', 'response': ['吲哚美辛', '阿司匹林', '非甾体类药物']}, {'type': 'Symptom', 'response': ['None']}]"
4.高酸或胃炎活动期者，可给予H2</sub>受体阻滞剂：西咪替丁、雷尼替丁和法莫替丁。,"[{'type': 'Disease', 'response': ['高酸或胃炎']}, {'type': 'Drug', 'response': ['法莫替丁', '西咪替丁', '雷尼替丁', 'H2</sub>受体阻滞剂']}, {'type': 'Symptom', 'response': ['None']}]"
除骨髓抑制外，马利兰尚有肺纤维化、色素沉着、消瘦和低血压等不良反应。,"[{'type': 'Disease', 'response': ['色素沉着', '消瘦', '低血压']}, {'type': 'Drug', 'response': ['马利兰']}, {'type': 'Symptom', 'response': ['None']}]"
作为儿童MDS的特有亚型-JMML，造血干细胞移植前患者往往伴有明显肝脾大脾脏是否移植前需要切脾有一定的争议，虽然切脾有助于植入、有助于减少血小板的输注，但来自欧洲EWOG-MDS100例儿童JMML移植资料提示切脾并不能提高疗效，所以推荐移植前不必要切脾。,"[{'type': 'Disease', 'response': ['JMML', '儿童MDS', '儿童JMML']}, {'type': 'Drug', 'response': ['血小板']}, {'type': 'Symptom', 'response': ['None']}]"
（三）肺炎型流感（流感病毒性肺炎）见于老年、幼儿、体弱多病或正在使用免疫抑制剂者。,"[{'type': 'Disease', 'response': ['肺炎型流感', '流感病毒性肺炎']}, {'type': 'Drug', 'response': ['免疫抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
心率较慢而无晕厥或心力衰竭者可口服阿托品、麻黄碱。,"[{'type': 'Disease', 'response': ['心力衰竭']}, {'type': 'Drug', 'response': ['麻黄碱', '阿托品']}, {'type': 'Symptom', 'response': ['None']}]"
对于呼吸衰竭出现兴奋烦躁、与呼吸机对抗者，可以通过应用镇静剂，以降低中枢对二氧化碳反应的敏感性，但仍然可以维持中枢对二氧化碳的调节反应性。,"[{'type': 'Disease', 'response': ['呼吸衰竭']}, {'type': 'Drug', 'response': ['镇静剂']}, {'type': 'Symptom', 'response': ['None']}]"
过多使用肌松剂导致呼吸肌失用性变性变性等，也可以导致对二氧化碳呼吸调节作用的下降。,"[{'type': 'Disease', 'response': ['None']}, {'type': 'Drug', 'response': ['肌松剂']}, {'type': 'Symptom', 'response': ['None']}]"
4.手术对肝脾破裂肾上腺出血糖皮质激素治疗，用氢化可的松，每天5～10mg/kg，静脉滴注。,"[{'type': 'Disease', 'response': ['肝脾破裂', '肾上腺出血']}, {'type': 'Drug', 'response': ['氢化可的松', '糖皮质激素']}, {'type': 'Symptom', 'response': ['肝脾破裂']}]"
（二）5%NaHCO<sub>3</sub></sub>循环一旦中止立即产生酸中毒，酸中毒可使窦房结与房室结传导减慢，导致心动过缓与心律不齐；还可直接减弱心肌收缩力。,"[{'type': 'Disease', 'response': ['心动过缓', '酸中毒', '心律不齐']}, {'type': 'Drug', 'response': ['5%NaHCO<sub>3</sub></sub>']}, {'type': 'Symptom', 'response': ['心动过缓', '心肌收缩力减慢', '使窦房结与房室结传导减慢']}]"
酸中毒可使肝素灭活，促进弥散性血管内凝血，故多年来碳酸氢钠一直被推荐为CPCR的必要药物之一。,"[{'type': 'Disease', 'response': ['酸中毒', '弥散性血管内凝血']}, {'type': 'Drug', 'response': ['碳酸氢钠', '肝素']}, {'type': 'Symptom', 'response': ['None']}]"
但由于下述理由使这一传统观念受到异议：①心搏骤停后，出现的酸中毒一般为呼吸性酸中毒合并高乳酸性代酸，有效循环建立前，碳酸氢钠不易纠正这类酸中毒；②碱性液使氧离曲线左移加重组织缺氧；③大剂量碳酸氢钠还可引起或加重高钠、高渗血症，加重脑的损害；④碱血症使K<sup>+</sup>细胞内流可致心律失常。,"[{'type': 'Disease', 'response': ['高乳酸性代酸', '心律失常', '酸中毒', '组织缺氧', '脑的损害', '高钠、高渗血症', '心搏骤停', '碱性液', '碱血症']}, {'type': 'Drug', 'response': ['碳酸氢钠']}, {'type': 'Symptom', 'response': ['None']}]"
（七）钙拮抗剂钙拮抗剂可直接抑制腺苷磷酸酶的分解，保护线粒体，降低乳酸，降低纤颤域值，不影响电复律，解除小动脉痉挛，加快血流，抑制血小板凝聚，降低血黏度，改善循环，阻止钙内流，保护缺血细胞。,"[{'type': 'Disease', 'response': ['小动脉痉挛', '缺血细胞']}, {'type': 'Drug', 'response': ['钙拮抗剂']}, {'type': 'Symptom', 'response': ['None']}]"
缺点：负性心肌作用、抑制A-V传导、心律失常、扩张外周血管，故钙拮抗剂在CPCR的应用有待研究。,"[{'type': 'Disease', 'response': ['心律失常', '阻碍A-V传导', '缺陷', '负性心肌作用', '心肌']}, {'type': 'Drug', 'response': ['钙拮抗剂']}, {'type': 'Symptom', 'response': ['None']}]"
（八）呼吸兴奋剂儿科呼吸、心搏骤停的临床特点多因严重低氧血症和高碳酸血症所致，先引起呼吸骤停，继而心搏骤停，故小儿CPCR时有效的人工通气显得尤为重要。,"[{'type': 'Disease', 'response': ['呼吸、心搏骤停', '呼吸骤停', '高碳酸血症', '低氧血症']}, {'type': 'Drug', 'response': ['呼吸兴奋剂']}, {'type': 'Symptom', 'response': ['None']}]"
瑞氏综合征@临床观察也发现RS的症状类似于伴有线粒体异常的遗传代谢疾病，而线粒体抑制剂或毒素（如柳酸盐及棘皮油等）可引起类似的临床病理改变。,"[{'type': 'Disease', 'response': ['RS', '瑞氏综合征', '线粒体异常的遗传代谢疾病']}, {'type': 'Drug', 'response': ['柳酸盐', '棘皮油', '线粒体抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
再感染的病人，应首先采用10～14天的常规治疗，如症状和菌尿消失，继之以小剂量抗生素预防重新感染，可供选择的药物有SMZ+TMP、呋喃妥因、阿莫西林或头孢氨苄等，剂量为常规治疗量的1/5～1/4。,"[{'type': 'Disease', 'response': ['感染', '重新感染']}, {'type': 'Drug', 'response': ['头孢氨苄', 'TMP', '呋喃妥因', '阿莫西林', 'SMZ', '抗生素']}, {'type': 'Symptom', 'response': ['None']}]"
利尿剂多采用呋塞米，肌内或静脉注射，每次1～2mg/kg，新生儿应间隔12～24小时脱水、低血压、低血钠、低血钾、低血氯、低血钙等。,"[{'type': 'Disease', 'response': ['低血钾', '低血钠', '低血氯', '低血压']}, {'type': 'Drug', 'response': ['利尿剂', '呋塞米']}, {'type': 'Symptom', 'response': ['None']}]"
如果补充碱性液过快，或没有及时改善通气和外周循环，可能产生代谢性碱中毒，可以导致昏迷和心跳停止。,"[{'type': 'Disease', 'response': ['代谢性碱中毒']}, {'type': 'Drug', 'response': ['None']}, {'type': 'Symptom', 'response': ['昏迷', '心跳停止']}]"
1.毛花苷丙和地高辛在呼吸衰竭时心肌缺氧，容易导致洋地黄中毒，应考虑减少其用量。,"[{'type': 'Disease', 'response': ['呼吸衰竭', '洋地黄中毒']}, {'type': 'Drug', 'response': ['地高辛', '毛花苷丙']}, {'type': 'Symptom', 'response': ['None']}]"
95%的动-静脉瘘患者在肾穿刺术后2～20个月内瘘管能自行闭合，很少要外科手术治疗，若出现大出血、高血压和心力衰竭时，应立即手术治疗，有人提出采用介入治疗，动脉插管注射氨基乙酸可以避免手术。,"[{'type': 'Disease', 'response': ['动-静脉瘘', '瘘管', '大出血', '心力衰竭', '高血压']}, {'type': 'Drug', 'response': ['氨基乙酸']}, {'type': 'Symptom', 'response': ['None']}]"
【诊断】（一）确定是否重症肌无力主要根据病史，典型的临床表现即受累骨骼肌活动后疲劳无力肌群可分成眼外肌、颜面肌、咽喉肌、颈肌、躯干肌和肢体肌等，经休息或用胆碱酯酶抑制剂可以缓解；且无神经系统其他体征。,"[{'type': 'Disease', 'response': ['重症肌无力']}, {'type': 'Drug', 'response': ['胆碱酯酶抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
2.药物实验阳性甲基硫酸新斯的明实验：0.03～0.04mg/kg，肌注，比较注射前后半小时各受累肌群的肌力的变化，肌力明显改善者有助于MG的诊断腾喜龙试验：腾喜龙0.2mg/kg，以注射用水稀释至1ml，静脉注射，症状迅速缓解则为阳性，持续10分钟左右又恢复原状。,"[{'type': 'Disease', 'response': ['MG']}, {'type': 'Drug', 'response': ['腾喜龙']}, {'type': 'Symptom', 'response': ['None']}]"
胸腺瘤多见于40岁以后男性患者，肌无力症状较重对胆碱酯酶抑制剂疗效不佳易发生危象。,"[{'type': 'Disease', 'response': ['胸腺瘤', '肌无力']}, {'type': 'Drug', 'response': ['胆碱酯酶抑制剂']}, {'type': 'Symptom', 'response': ['None']}]"
【诊断】根据流行病学资料、接触史和典型腮腺炎表现易确定诊断，缺乏腮腺炎表现或接种过疫苗的患儿需进行病原学诊断，方法包括：（一）病毒分离收集急性期唾液标本和脑膜脑炎发生后5天内脑脊液接种敏感细胞，病变细胞可见胞质内嗜酸性包涵体，形成多核巨细胞。,"[{'type': 'Disease', 'response': ['腮腺炎', '脑膜脑炎']}, {'type': 'Drug', 'response': ['疫苗']}, {'type': 'Symptom', 'response': ['None']}]"
应用麻疹-腮腺炎-风疹（MMR）三联疫苗抗体阳转率可达95%以上，推荐对大于12月龄小儿、青春期和成年无自然感染史者普遍接种。,"[{'type': 'Disease', 'response': ['感染']}, {'type': 'Drug', 'response': ['MMR', '麻疹-腮腺炎-风疹（MMR）三联疫苗']}, {'type': 'Symptom', 'response': ['None']}]"
孕期、严重发热性疾病、过敏、近期接受过免疫球蛋白和免疫抑制患者不能接种。,"[{'type': 'Disease', 'response': ['严重发热性疾病', '过敏']}, {'type': 'Drug', 'response': ['免疫球蛋白', '免疫抑制']}, {'type': 'Symptom', 'response': ['None']}]"
假阳性率较高的人群为新生儿、自身抗体阳性、菌血症患者、使用半合成青霉素及异体骨髓抑制患者。,"[{'type': 'Disease', 'response': ['自身抗体阳性', '异体骨髓抑制', '菌血症']}, {'type': 'Drug', 'response': ['半合成青霉素']}, {'type': 'Symptom', 'response': ['None']}]"
2.ABPA治疗皮质类固醇类激素目前依然是治疗的金标准，常规剂量，依据临床反应调整，可使大部分患者症状减轻、肺部阴影消退、延缓肺功能减退和肺纤维化等毁损肺的发生。,"[{'type': 'Disease', 'response': ['肺功能减退', '肺纤维化', '皮质类固醇类激素', '延缓肺功能减退']}, {'type': 'Drug', 'response': ['皮质类固醇类激素']}, {'type': 'Symptom', 'response': ['None']}]"
【治疗】（一）一般治疗包括低盐饮食、适量优质蛋白饮食；水肿明显时应利尿，可参考本章第三节给予各种口服利尿剂，严重水肿时可静脉应用呋塞米（furosemide，速尿）1～2mg/（kg•次）；有高血压时应予硝苯地平（nifedipine，心痛定）每次0.25～0.5mg/kg一日3～4次或ACEI类药物口服治疗，如卡托普利（captopril，巯甲丙脯酸）1～2mg/（kg•d），一日2～3次。,"[{'type': 'Disease', 'response': ['高血压']}, {'type': 'Drug', 'response': ['呋塞米', '卡托普利', '快速清', '硝苯地平', 'captopril', 'ACEI类药物', '速尿', '诺氟沙星', '甲磺酸二甲双胍', '甲磺酸二甲双胍', 'furosemide', '呋塞米', '甲磺酸二甲双胍', '育儿宁', '速尿', '肝素', '甲磺酸二甲双胍', '蛋白', '蛋白', 'nifedipine', '硝苯地平', '肝素', '呋塞米', 'ACEI类药物', '肝素']}, {'type': 'Symptom', 'response': ['None']}]"
注射呋塞米，尿量增加，肾盂排空无法及时完成，肾积水的症状得以出现。,"[{'type': 'Disease', 'response': ['肾盂排空无法及时完成', '肾积水']}, {'type': 'Drug', 'response': ['呋塞米']}, {'type': 'Symptom', 'response': ['None']}]"
【病因与发病机制】早产儿脑室周围室管膜下生发基质富含血管，这些血管在解剖学上是一种不成熟的毛细血管网，仅由一层内皮细胞组成，缺乏肌层和结缔组织支持，该区域对缺氧和高碳酸血症极为敏感，当缺氧致脑血流自我调节功能受损时，惊厥、气管吸引、快速扩容、静脉输注高渗溶液等可致血压波动而促发管破裂出血。,"[{'type': 'Disease', 'response': ['促发管破裂出血', '惊厥', '高碳酸血症', '早产儿', '缺氧', '气管吸引', '高渗溶液', '脑血流自我调节功能受损']}, {'type': 'Drug', 'response': ['高渗溶液']}, {'type': 'Symptom', 'response': ['None']}]"
